Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2004-03-12,1101.33,1103.23,1048.05,1064.23,1086.25,1082.12,1021.54,290329984
2004-03-19,1063.52,1073.04,1048.05,1054,1079.12,1081,1025.29,268380000
2004-03-26,1054.24,1060.43,1032.58,1052.81,1072.13,1078.05,1028.52,255890000
2004-04-02,1052.81,1089.94,1052.81,1087.08,1071.84,1078.31,1032.43,227920000
2004-04-09,1086.6,1098.98,1078.51,1084.7,1068.57,1079.31,1036.4,151610000
2004-04-16,1084.22,1094.7,1065.19,1079.47,1071.61,1078.93,1039.68,250370000
2004-04-23,1078.04,1087.32,1059.71,1084.7,1077.75,1078.43,1044.34,223500000
2004-04-30,1083.51,1091.13,1050.67,1052.81,1077.75,1074.94,1046.87,247640000
2004-05-07,1052.1,1073.28,1041.86,1042.82,1068.9,1070.37,1048.68,235360000
2004-05-14,1042.34,1049.48,1023.54,1042.1,1060.38,1064.47,1050.56,326260000
2004-05-21,1041.39,1052.57,1026.4,1039.96,1052.48,1062.05,1052.61,225930000
2004-05-28,1040.2,1070.42,1037.58,1066.38,1048.81,1063.28,1054.92,197370000
2004-06-04,1067.57,1075.18,1059,1069.23,1052.1,1064.92,1057.3,152340000
2004-06-11,1068.52,1088.03,1068.52,1082.09,1059.95,1064.43,1060.15,123070000
2004-06-18,1079.7,1085.18,1068.28,1079.94,1067.52,1063.95,1063.34,159010000
2004-06-25,1080.66,1091.61,1070.18,1081.13,1075.75,1064.12,1065.88,170140000
2004-07-02,1082.56,1091.13,1068.75,1072.09,1076.9,1062.85,1067.99,214730000
2004-07-09,1072.09,1075.18,1055.18,1059.71,1074.99,1063.54,1069.31,141470000
2004-07-16,1060.66,1066.37,1047.56,1050.18,1068.61,1064.28,1069.9,196060000
2004-07-23,1050.42,1062.8,1030.66,1033.75,1059.37,1063.45,1069.69,265440000
2004-07-30,1033.99,1051.37,1025.66,1048.52,1052.85,1064.3,1069.49,261030000
2004-08-06,1045.66,1055.42,1010.18,1012.8,1040.99,1058.94,1067.74,246230000
2004-08-13,1013.52,1027.33,1009.47,1015.42,1032.14,1053.56,1065.51,238300000
2004-08-20,1014.71,1048.04,1010.42,1046.37,1031.37,1049.99,1064.24,214650000
2004-08-27,1045.18,1056.85,1040.18,1055.42,1035.71,1047.54,1063.6,154550000
2004-09-03,1054.71,1067.8,1042.09,1061.37,1038.28,1045.56,1062.87,197070000
2004-09-10,1061.61,1072.08,1060.18,1069.94,1049.71,1045.35,1062.21,132620000
2004-09-17,1069.94,1077.08,1066.13,1074.7,1061.56,1046.85,1061.78,168690000
2004-09-24,1074.46,1078.03,1053.76,1058.04,1063.9,1047.63,1060.76,206420000
